Sample	Site	Habitat	Season	Replicate
42328	Bel Hombre	Negative	Summer	R1
42332	Bel Hombre	Sand	Summer	R1
42333	Bel Hombre	Sand	Summer	R2
42334	Bel Hombre	Sand	Summer	R3
42335	Bel Hombre	Channel	Summer	R1
42336	Bel Hombre	Channel	Summer	R2
42337	Bel Hombre	Channel	Summer	R3
42338	Bel Hombre	Seagrass	Summer	R1
42339	Bel Hombre	Seagrass	Summer	R2
42340	Bel Hombre	Seagrass	Summer	R3
42383	Bel Hombre	Channel	Winter	R1
42384	Bel Hombre	Channel	Winter	R2
42385	Bel Hombre	Channel	Winter	R3
42386	Bel Hombre	Seagrass	Winter	R1
42387	Bel Hombre	Seagrass	Winter	R2
42388	Bel Hombre	Seagrass	Winter	R3
42380	Bel Hombre	Sand	Winter	R1
42381	Bel Hombre	Sand	Winter	R2
42382	Bel Hombre	Sand	Winter	R3
46273	Roches Noires	Seagrass	Summer	R1
46282	Roches Noires	Seagrass	Summer	R2
46270	Roches Noires	Seagrass	Summer	R3
46279	Roches Noires	Sand	Summer	R1
46281	Roches Noires	Sand	Summer	R2
46276	Roches Noires	Sand	Summer	R3
46271	Roches Noires	Channel	Summer	R2
46272	Roches Noires	Channel	Summer	R3
48941	Roches Noires	Seagrass	Winter	R3
48944	Roches Noires	Sand	Winter	R1
48951	Roches Noires	Sand	Winter	R2
48936	Roches Noires	Sand	Winter	R3
48945	Roches Noires	Channel	Winter	R1
48949	Roches Noires	Channel	Winter	R2
48940	Roches Noires	Channel	Winter	R3
