Observed	Shannon	Site	Habitat	Season
226	4.083609545446535	Bel Hombre	Channel	Summer
174	3.198241497888776	Bel Hombre	Channel	Winter
93	2.2128416920459357	Bel Hombre	Sand	Summer
81	1.7485912565765067	Bel Hombre	Sand	Winter
72	0.960263089857461	Bel Hombre	Seagrass	Summer
142	3.767047678445366	Bel Hombre	Seagrass	Winter
133	3.920764602069458	Roches Noires	Channel	Summer
218	3.828655670502977	Roches Noires	Channel	Winter
145	3.3575758240747886	Roches Noires	Sand	Summer
176	2.9694458863356696	Roches Noires	Sand	Winter
144	3.1727060165062215	Roches Noires	Seagrass	Summer
1	0	Roches Noires	Seagrass	Winter
