sample_group	Axis.1	Axis.2	Axis.3	Axis.4	Axis.5	Axis.6	Axis.7	Axis.8	Axis.9	Axis.10	Axis.11	Site	Habitat	Season
Bel Hombre_Channel_Summer	0.09881842704207137	-0.19804155029212883	0.10447347429928042	0.13575568269965677	-0.14907893907834316	0.275841633126884	0.14356590132656666	0.04843201626135771	0.06331439446453088	0.003659360936905175	0.019017924144211485	Bel Hombre	Channel	Summer
Bel Hombre_Channel_Winter	0.30854965989165145	-0.1505578154876702	0.03922793014923611	-0.04802112380142571	-0.028273901566409892	-0.0038528293150855444	-0.1104619563664753	-0.01198679772612924	0.07414537417942964	0.11933910097795218	-0.04066787933243943	Bel Hombre	Channel	Winter
Bel Hombre_Sand_Summer	0.5066627598051372	0.046553023022681404	-0.12464513260801732	-0.039935022705551985	0.045134459502215174	-0.03009242823974728	0.1516750353322468	0.04146592496167759	-0.15740896233846885	-0.008295133073045222	-0.02051240614838718	Bel Hombre	Sand	Summer
Bel Hombre_Sand_Winter	0.5328388704085576	0.059294065693879454	-0.11252135746159161	-0.09682850697710772	0.037992046699326015	-0.092500672838688	-0.07005797361847615	-0.024818954799957545	0.09643872790216197	-0.053502604742769196	0.045336482989542876	Bel Hombre	Sand	Winter
Bel Hombre_Seagrass_Summer	-0.2575320341809318	0.32471436028655254	-0.4770150061087932	-0.0701292702530105	-0.19857096939787838	0.09889245716874381	-0.05847281834340418	-0.03455394499173441	-0.009702548318956545	-0.011832232334872763	-0.00987655913451842	Bel Hombre	Seagrass	Summer
Bel Hombre_Seagrass_Winter	0.021152922902976545	-0.1803197508677556	-0.0032043429485795376	0.35352170486224077	0.01729331208347688	-0.027691189956389476	-0.14976972904611982	-0.0558767600416462	-0.053471385510541924	-0.06113271210084636	-0.011710847476308416	Bel Hombre	Seagrass	Winter
Roches Noires_Channel_Summer	-0.20429629603158422	-0.20522710576788045	0.13164416538266258	-0.16308438182221555	0.06040522225254197	0.11012250032177993	-0.08989828301659758	-0.08502978873555357	-0.12732818463593742	0.04711986085760771	0.037632204094094256	Roches Noires	Channel	Summer
Roches Noires_Channel_Winter	-0.20898891205084563	-0.19916810779909874	0.13334015017951142	-0.21678840571439092	0.10434331294264027	0.07418230004449461	-0.011204741436776789	0.04764565070913943	0.0465927807331052	-0.10511288455000065	-0.03629494802466412	Roches Noires	Channel	Winter
Roches Noires_Sand_Summer	-0.28235733240313127	-0.04433828742735464	-0.11716258574870098	0.05255076091150978	0.06423169948386098	-0.11828654627786937	-0.028694418151950368	0.26381689157928595	-0.0020430292049713476	0.03629143042487842	0.017620968310444043	Roches Noires	Sand	Summer
Roches Noires_Sand_Winter	-0.1879159813077489	-0.06959899948244995	0.25661898938401356	-0.042695102190879665	-0.26429064908908695	-0.2675093126980674	0.07875368206538425	-0.05375538281320157	-0.004627696782966475	-0.009422789169797859	0.0014343942764542218	Roches Noires	Sand	Winter
Roches Noires_Seagrass_Summer	-0.29137614346447693	-0.043235135337256834	-0.21038998713750606	0.07542346223181978	0.22472743507068185	-0.07103490847892548	0.15785850934089504	-0.13905938232274007	0.06732177159694548	0.03348524846174697	4.4478288733569934e-4	Roches Noires	Seagrass	Summer
Roches Noires_Seagrass_Winter	-0.03555594061167531	0.6599253034584819	0.3796337026184843	0.06023020275935456	0.08608697109697565	0.051928997142870095	-0.013293208085290784	0.0037205279195021554	0.006768757915668671	0.009403354312240854	-0.0024241165857609645	Roches Noires	Seagrass	Winter
