qseqid	sseqid	pident	length	qcovs	evalue	bitscore	confidence	kingdom	phylum	class	order	family	genus	species
ASV0001	EU601190.1.22.>927###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Leptoscarus_188115;Leptoscarus_vaigiensis_2913886	100	200	100	6.30e-102	370	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Leptoscarus	Leptoscarus vaigiensis
ASV0002	MZ597913.1.<1.>169###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Stegastes_80992;Stegastes_lividus_80995	99.408	169	86	4.89e-83	307	species	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Stegastes	Stegastes lividus
ASV0003	MW376909.1.69.1014###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Siganidae_75382;Siganidae_75382;Siganus_75041;Siganus_luridus_226939	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Siganidae	Siganidae	Siganus	Siganus luridus
ASV0004	AY279593.1.<1.>933###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Cymolutes_241283;Cymolutes_praetextatus_241284	99.492	197	100	4.82e-98	357	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Cymolutes	Cymolutes praetextatus
ASV0005	MG677546.1.69.1015###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Siganidae_75382;Siganidae_75382;Siganus_75041;Siganus_sutor_439892	99.495	198	100	3.75e-99	361	species	Eukaryota	Chordata	Actinopteri	Siganidae	Siganidae	Siganus	Siganus sutor
ASV0006	MW630257.1.<1.>824###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Stegastes_80992;Stegastes_nigricans_351694	95.455	198	99	1.06e-84	313	genus	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Stegastes	Stegastes sp.
ASV0007	KM224290.1.<1.>319###root_1;Eukaryota_2759;Chordata_7711;Mammalia_40674;Primates_9443;Hominidae_9604;Homo_9605;Homo_sapiens_9606	100	171	100	6.95e-86	316	species	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV0008	MH248213.1.<1.>651###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Spariformes_1489931;Lethrinidae_30848;Lethrinus_119720;Lethrinus_nebulosus_182658	98.469	196	100	1.04e-94	346	species	Eukaryota	Chordata	Actinopteri	Spariformes	Lethrinidae	Lethrinus	Lethrinus nebulosus
ASV0009	AY279626.1.<1.>932###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Novaculoides_315408;Novaculoides_macrolepidotus_241323	99.492	197	100	4.82e-98	357	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Novaculoides	Novaculoides macrolepidotus
ASV0010	LC649141.1.<1.888###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Acanthuriformes_1489937;Acanthuridae_29146;Naso_75027;Naso_unicornis_175444	100	197	100	2.88e-100	364	species	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Naso	Naso unicornis
ASV0011	AP005991.1.70.1024###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Perciformes_8111;Serranidae_30871;Epinephelus_94231;Epinephelus_merra_215346	98.469	196	100	1.04e-94	346	species	Eukaryota	Chordata	Actinopteri	Perciformes	Serranidae	Epinephelus	Epinephelus merra
ASV0012	MZ597913.1.<1.>169###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;order_Pomacentridae_30863;Pomacentridae_30863;Stegastes_80992;Stegastes_lividus_80995	99.408	169	86	4.89e-83	307	species	Eukaryota	Chordata	Actinopteri	Pomacentridae	Pomacentridae	Stegastes	Stegastes lividus
ASV0013	EU601190.1.22.>927###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Labriformes_1489928;Labridae_8247;Leptoscarus_188115;Leptoscarus_vaigiensis_2913886	99	200	100	1.36e-98	359	species	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae	Leptoscarus	Leptoscarus vaigiensis
ASV0014	LC780147.1.<1.895###root_1;Eukaryota_2759;Chordata_7711;Actinopteri_186623;Gobiiformes_1489878;Gobiidae_8220;Gnatholepis_151727;Gnatholepis_anjerensis_194857	99.485	194	100	6.12e-97	353	species	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Gnatholepis	Gnatholepis anjerensis
